take,markerTriplet,avg_speed_mps
Take2025_10_0609_48_31AM,2,4.47636935681497
Take2025_10_0609_48_31AM,6,4.00842187815254
Take2025_10_0609_50_02AM,2,3.0885646266301
Take2025_10_0609_50_32AM,2,3.78273326635765
Take2025_10_0609_51_07AM,2,3.94153058558556
Take2025_10_0609_58_53AM,3,4.87067079399847
Take2025_10_0609_58_53AM,4,4.70516830667014
Take2025_10_0609_58_53AM,6,4.40027792392352
Take2025_10_0610_01_47AM,2,4.59668108973033
