take,markerTriplet,duration_s,distance_m,avg_speed_mps
Take2025_10_0609_48_31AM,2,1.31666666666667,5.89388631980638,4.47636935681497
Take2025_10_0609_48_31AM,6,2.38333333333333,9.55340547626355,4.00842187815254
Take2025_10_0609_50_02AM,2,2.25833333333333,6.97500844847298,3.0885646266301
Take2025_10_0609_50_32AM,2,1.41666666666667,5.35887212734,3.78273326635765
Take2025_10_0609_51_07AM,2,2.01666666666667,7.94875334759755,3.94153058558556
Take2025_10_0609_58_53AM,3,1.74166666666667,8.48308496621401,4.87067079399847
Take2025_10_0609_58_53AM,4,1.15833333333333,5.45015328855958,4.70516830667014
Take2025_10_0609_58_53AM,6,1.88333333333333,8.28719009005597,4.40027792392352
Take2025_10_0610_01_47AM,2,1.14166666666667,5.24787757744213,4.59668108973033
