Format Version,1.24,Take Name,Take 2025-10-06 09.50.02 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.50.02.476 AM,Capture Start Frame,48674,Total Frames in Take,614,Total Exported Frames,614,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1840,Unlabeled 1840,Unlabeled 1840,Unlabeled 1841,Unlabeled 1841,Unlabeled 1841,Unlabeled 1842,Unlabeled 1842,Unlabeled 1842,Unlabeled 1843,Unlabeled 1843,Unlabeled 1843,Unlabeled 1844,Unlabeled 1844,Unlabeled 1844,Unlabeled 1927,Unlabeled 1927,Unlabeled 1927
,ID,"6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","14807F5C26D7A29011F0","14807F5C26D7A29011F0","14807F5C26D7A29011F0","14937F5C26D7A29011F0","14937F5C26D7A29011F0","14937F5C26D7A29011F0","14967F5C26D7A29011F0","14967F5C26D7A29011F0","14967F5C26D7A29011F0","14987F5C26D7A29011F0","14987F5C26D7A29011F0","14987F5C26D7A29011F0","14EB7F5C26D7A29011F0","14EB7F5C26D7A29011F0","14EB7F5C26D7A29011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,0.158333,960.760986,-73.449913,5791.505859,-2433.870117,621.455261,-5196.876953,-2489.762207,706.810791,-5367.709961,-519.672119,1015.245667,-5139.411133,-534.157959,994.929199,-5148.219727,,,
20,0.166667,960.701538,-73.476227,5791.347168,-2434.275391,622.223267,-5196.022461,-2487.739502,707.020142,-5367.869141,-519.715393,1015.434631,-5139.443848,-534.204834,995.122253,-5148.244141,,,
21,0.175000,960.752686,-73.412697,5791.493652,-2434.759521,623.276855,-5194.966797,-2485.865479,707.311035,-5367.995605,-519.852478,1015.666992,-5139.473145,-534.230774,995.276306,-5148.289551,,,
22,0.183333,960.759888,-73.431816,5791.505371,-2435.109863,624.580383,-5193.912109,-2484.233643,707.883301,-5368.044922,-519.815857,1015.758423,-5139.505371,-534.256104,995.447937,-5148.351074,,,
23,0.191667,960.769714,-73.416100,5791.507324,-2435.460205,625.949402,-5192.681152,-2482.754150,708.365295,-5367.905273,-519.772644,1015.900513,-5139.583984,-534.398499,995.686829,-5148.438965,,,
24,0.200000,960.765686,-73.429504,5791.501953,-2435.648682,627.680969,-5191.319824,-2481.697754,709.270081,-5367.769043,-519.804871,1016.080505,-5139.706543,-534.563538,995.946899,-5148.489746,,,
25,0.208333,960.764709,-73.408829,5791.519043,-2436.220947,630.224548,-5190.221191,-2480.733398,709.893372,-5367.403320,-519.934753,1016.366272,-5139.812988,-534.620789,996.127563,-5148.588867,,,
26,0.216667,960.700745,-73.465797,5791.357910,-2436.477051,632.811340,-5188.710938,-2480.360840,710.940918,-5367.146484,-520.016724,1016.527893,-5139.950684,-534.712708,996.296753,-5148.700195,,,
27,0.225000,960.549011,-73.685326,5791.168945,-2436.950195,635.926270,-5187.440918,-2480.406494,711.988098,-5366.758789,-520.062744,1016.686584,-5140.111816,-534.559326,996.449768,-5148.913574,,,
28,0.233333,960.537598,-73.678680,5791.035645,-2437.179199,639.184326,-5186.038574,-2480.717773,713.261353,-5366.313965,-519.979126,1016.904358,-5140.286133,-534.660400,996.622742,-5148.976074,,,
29,0.241667,960.775085,-73.415596,5791.493652,-2437.277100,642.620605,-5184.469727,-2481.232910,714.797424,-5365.709473,-520.197876,1017.304565,-5140.488281,-534.665955,996.804565,-5149.041016,,,
30,0.250000,960.775757,-73.395958,5791.515137,-2437.627686,646.648987,-5182.916016,-2481.624756,716.835144,-5364.852051,-520.209534,1017.529236,-5140.587891,-534.705872,997.009460,-5149.081543,,,
31,0.258333,960.761841,-73.412567,5791.491699,-2437.830566,651.139038,-5181.145508,-2481.963135,719.421021,-5363.826660,-520.229553,1017.738098,-5140.635254,-534.719910,997.189453,-5149.095703,,,
