Format Version,1.24,Take Name,Take 2025-10-06 09.51.07 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.51.07.586 AM,Capture Start Frame,56487,Total Frames in Take,492,Total Exported Frames,492,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 2267,Unlabeled 2267,Unlabeled 2267,Unlabeled 2268,Unlabeled 2268,Unlabeled 2268,Unlabeled 2269,Unlabeled 2269,Unlabeled 2269,Unlabeled 2270,Unlabeled 2270,Unlabeled 2270,Unlabeled 2405,Unlabeled 2405,Unlabeled 2405,Unlabeled 2449,Unlabeled 2449,Unlabeled 2449,Unlabeled 2462,Unlabeled 2462,Unlabeled 2462,Unlabeled 2463,Unlabeled 2463,Unlabeled 2463
,ID,"6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","16857F5C26D7A29011F0","16857F5C26D7A29011F0","16857F5C26D7A29011F0","168F7F5C26D7A29011F0","168F7F5C26D7A29011F0","168F7F5C26D7A29011F0","16927F5C26D7A29011F0","16927F5C26D7A29011F0","16927F5C26D7A29011F0","17257F5C26D7A29011F0","17257F5C26D7A29011F0","17257F5C26D7A29011F0","17517F5C26D7A29011F0","17517F5C26D7A29011F0","17517F5C26D7A29011F0","175E7F5C26D7A29011F0","175E7F5C26D7A29011F0","175E7F5C26D7A29011F0","175F7F5C26D7A29011F0","175F7F5C26D7A29011F0","175F7F5C26D7A29011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,960.724060,-73.450974,5791.418457,-2260.138428,1027.351318,-5460.269043,-465.574585,1055.980957,-5267.336426,-2259.356934,1020.762329,-5461.726562,,,,,,,,,,,,
1,0.008333,960.562378,-73.658363,5791.222168,-2257.822998,1026.557861,-5459.425781,-465.295044,1056.116211,-5267.059570,-2257.132324,1020.036804,-5460.962891,,,,,,,,,,,,
2,0.016667,960.552063,-73.669563,5791.069824,-2254.961426,1025.374390,-5458.419434,-465.070465,1056.374756,-5266.697266,-2254.272949,1018.963562,-5459.889160,,,,,,,,,,,,
3,0.025000,960.540894,-73.674713,5791.012207,-2252.614258,1024.786011,-5456.929199,-465.580017,1057.034180,-5266.086914,-2251.490479,1017.624512,-5458.445312,,,,,,,,,,,,
4,0.033333,960.752380,-73.439774,5791.479004,-2249.333008,1023.401123,-5455.569824,-465.938232,1057.554199,-5265.635254,-2248.680908,1016.979675,-5456.867188,,,,,,,,,,,,
5,0.041667,960.773804,-73.421013,5791.515625,-2246.962646,1023.109192,-5453.480469,-465.771729,1057.867676,-5265.444824,-2246.245605,1016.529175,-5455.287598,,,,,,,,,,,,
