Format Version,1.24,Take Name,Take 2025-10-06 09.40.48 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.40.49.283 AM,Capture Start Frame,99419,Total Frames in Take,532,Total Exported Frames,532,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,1584.064575,580.511658,-6424.537109,980.165833,-83.832893,5812.311035,2514.872559,-463.365234,-5905.231445,-500.163086,668.156128,-5322.039062,-60.137600,586.546753,-6181.103516,2479.172119,-461.721100,-5910.087891,-493.454865,635.905945,-5338.020020,-1684.299927,1206.526489,-4214.043945,1501.090088,581.572815,-6418.910645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,1584.375977,580.177002,-6425.066895,980.145447,-83.834335,5812.314453,2514.906006,-463.313965,-5905.270996,-499.696259,668.059753,-5321.895508,-59.660557,586.417419,-6180.766113,2479.213867,-461.732971,-5910.098633,-493.779663,635.626526,-5337.603516,-1679.065063,1208.589478,-4153.679688,1501.234741,580.997803,-6419.145996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,1584.345459,579.960999,-6425.580566,980.157410,-83.833542,5812.314453,2515.018311,-463.342133,-5905.305176,-499.462860,668.127075,-5321.651367,-58.841160,586.495117,-6180.348145,2479.171143,-461.784515,-5910.089844,-493.732086,635.492859,-5337.395020,-1674.577271,1209.426392,-4094.499512,1503.520752,579.102966,-6419.997070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,1584.250732,579.643799,-6426.077148,980.168091,-83.849998,5812.323730,2515.053955,-463.402100,-5905.312988,-498.882263,667.950439,-5321.388672,-58.241825,586.490967,-6180.030762,2479.157471,-461.828339,-5910.094238,-493.989502,634.952820,-5337.045898,-1669.125000,1207.992188,-4035.615967,1503.551147,578.430725,-6420.107422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,1584.445801,579.076050,-6426.524414,980.155518,-83.859703,5812.338379,2514.984619,-463.385712,-5905.272461,-498.418823,667.870300,-5321.024414,-57.392513,586.566223,-6179.669922,2479.171387,-461.811127,-5910.084473,-493.987732,634.058167,-5336.865723,-1663.769531,1205.218018,-3977.595459,1501.962036,578.370178,-6419.725098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,1584.409058,578.702026,-6426.813477,980.168396,-83.854195,5812.326172,2514.947021,-463.335510,-5905.267090,-497.922577,667.841614,-5320.772949,-56.434582,586.540894,-6179.143555,2479.102783,-461.704590,-5910.044922,-493.874359,633.637024,-5336.599121,-1658.130737,1200.376587,-3919.666016,1502.137573,577.694519,-6419.716797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,1584.701294,578.225281,-6427.196289,980.137695,-83.856697,5812.313965,2515.018311,-463.372528,-5905.348633,-497.469971,667.810669,-5320.630371,-55.736420,586.528137,-6178.662598,2479.177734,-461.720337,-5910.065918,-491.551727,634.269409,-5335.994141,-1652.046143,1194.014648,-3862.458984,1502.326050,577.078369,-6419.598145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,1584.684937,577.838989,-6427.483398,980.169800,-83.837708,5812.317383,2515.032227,-463.378662,-5905.316406,-497.108185,667.814392,-5320.497559,-54.623638,586.729858,-6177.988770,2479.195312,-461.682129,-5910.084961,-491.524445,634.257141,-5335.785156,-1645.108276,1185.165894,-3804.907715,1502.490356,576.425354,-6419.488281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,1584.664429,577.467285,-6427.669922,980.146973,-83.835983,5812.328125,2515.065186,-463.442017,-5905.373535,-496.733551,667.925537,-5320.270020,-53.826801,586.779114,-6177.431641,2479.175537,-461.673645,-5910.077148,-491.160706,634.858154,-5335.684570,-1638.439209,1175.250854,-3749.200928,1501.011597,576.625244,-6419.372070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,1585.149170,576.970764,-6427.924316,980.159241,-83.849091,5812.335449,2514.966309,-463.403351,-5905.261719,-496.158844,667.925598,-5319.903809,-52.877430,587.043457,-6176.891113,2479.153320,-461.751068,-5910.102051,-490.943665,634.339478,-5335.495605,-1631.477173,1162.855957,-3693.433350,1501.909790,576.203186,-6419.117676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
