Format Version,1.24,Take Name,Take 2025-10-06 09.39.45 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.39.46.635 AM,Capture Start Frame,91901,Total Frames in Take,911,Total Exported Frames,911,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,1466.642944,605.042786,-6402.292480,2478.772705,-462.629425,-5910.851074,980.239807,-83.861664,5812.323242,-2631.077881,149.483261,-6916.363281,-2113.474365,881.975159,-6170.785156,-200.386917,-565.966187,-5969.531250,-2778.119141,1011.033630,3836.778809,-419.195526,-593.313416,-6268.223145,-202.296158,-548.092285,-5942.755371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,1466.580933,605.156738,-6402.326172,2478.835693,-462.760284,-5910.854492,980.224060,-83.872368,5812.340820,-2630.994385,149.743103,-6916.335938,-2114.364746,878.558289,-6168.895996,-197.416428,-566.143188,-5968.208496,-2782.447998,1011.126770,3827.453369,-419.251343,-593.371399,-6268.175781,-198.629242,-548.026062,-5941.486328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,1466.540894,605.242859,-6402.384277,2478.800293,-462.625122,-5910.878418,980.220581,-83.850052,5812.357422,-2631.006348,149.822449,-6916.349609,-2115.447510,875.225220,-6167.101562,-195.069870,-566.960632,-5966.724609,-2786.297363,1010.751038,3818.359375,-419.308228,-593.465820,-6268.143555,-195.848129,-548.661316,-5940.052246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,1466.644043,605.471680,-6402.498535,2478.933594,-462.413513,-5910.821289,980.203308,-83.861374,5812.336426,-2630.993408,149.789490,-6916.330566,-2116.603027,871.773926,-6165.210938,-192.416199,-567.532227,-5965.455078,-2790.107422,1010.173096,3809.689453,-419.340881,-593.472900,-6268.094238,-193.111771,-549.242126,-5938.809570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,1466.864990,605.750305,-6402.722656,2478.827637,-462.271088,-5910.823242,980.240662,-83.860649,5812.306641,-2631.036621,149.829300,-6916.320312,-2117.537354,868.198303,-6163.311035,-189.648788,-568.026917,-5964.265625,-2794.410645,1008.786926,3800.047852,-419.338074,-593.452515,-6268.062500,-190.243515,-549.818665,-5937.716797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,1467.311157,605.920227,-6403.294922,2478.803467,-462.701416,-5910.871094,980.212097,-83.842781,5812.307129,-2630.909912,149.615982,-6916.318848,-2118.810059,864.798157,-6161.545898,-187.840744,-569.861023,-5963.005859,-2797.210693,1008.314941,3793.011475,-419.392975,-593.514648,-6268.002930,-188.888443,-551.900208,-5936.503418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,1467.524048,606.140015,-6403.708008,2478.781982,-462.429626,-5910.778320,980.203247,-83.837448,5812.301758,-2630.879883,149.581696,-6916.337402,-2120.263916,861.096069,-6160.145996,-185.493988,-571.443359,-5961.996094,-2801.397217,1006.269836,3784.372559,-419.360168,-593.458008,-6267.903320,-185.680954,-552.572144,-5935.597656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,1467.792114,606.401062,-6404.167480,2478.821533,-462.373871,-5910.761719,980.239380,-83.850395,5812.296387,-2631.071289,149.410934,-6916.371582,-2121.708496,857.578125,-6158.656738,-182.639755,-572.224731,-5961.312500,-2804.472656,1005.275269,3777.579590,-419.387451,-593.480103,-6267.848633,-182.705734,-553.346497,-5935.064453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,1468.875977,606.341553,-6405.140137,2478.864502,-462.499603,-5910.887207,980.218262,-83.827995,5812.277344,-2631.128174,149.512436,-6916.401367,-2123.266846,854.034241,-6156.917969,-181.829636,-572.887451,-5961.217773,-2808.746826,1003.599426,3769.136963,-419.434509,-593.535828,-6267.795898,-181.667068,-554.433838,-5934.720703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,1469.229248,606.519348,-6405.779785,2478.959473,-462.383484,-5910.863770,980.185852,-83.829498,5812.283691,-2631.181885,149.617142,-6916.375488,-2125.126221,850.541931,-6155.886230,-182.067657,-573.503174,-5961.175781,-2812.830322,1002.170532,3761.678711,-419.415771,-593.513855,-6267.749512,-181.496750,-555.903625,-5934.366211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,1469.786621,606.437378,-6406.595703,2478.869385,-462.573578,-5910.887695,980.221924,-83.849670,5812.279297,-2630.950439,149.761688,-6916.346680,-2126.798584,846.772217,-6154.500488,-182.493729,-574.099548,-5960.998535,-2817.111084,1000.279663,3753.667236,-419.403137,-593.467224,-6267.666992,-183.204269,-559.675232,-5933.344727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,1470.063843,606.295105,-6407.212891,2478.989014,-462.669250,-5910.917969,980.227173,-83.866035,5812.261230,-2630.926270,149.721558,-6916.317383,-2128.411865,843.057678,-6153.095215,-182.948303,-574.718872,-5960.638184,-2820.537842,998.966675,3746.605957,-419.462311,-593.512878,-6267.615723,-184.738342,-563.063782,-5932.427734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,1470.815063,605.912659,-6408.073730,2478.872314,-462.449585,-5910.830566,980.216003,-83.883018,5812.265137,-2630.962891,149.733765,-6916.320801,-2129.996338,839.254822,-6151.440918,-182.865936,-574.943115,-5960.152344,-2824.609863,997.426819,3739.037354,-419.598541,-593.631714,-6267.605957,-186.116592,-566.108276,-5931.604004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,1471.524536,605.649780,-6408.858398,2478.891113,-462.540161,-5910.861328,980.204712,-83.880699,5812.267578,-2631.170410,149.557785,-6916.341309,-2131.512451,835.534119,-6149.663086,-182.469482,-574.927185,-5959.785645,-2828.959717,995.521667,3731.014893,-419.727142,-593.686951,-6267.601562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,1472.176514,605.490356,-6409.756348,2478.990967,-462.581909,-5910.921387,980.182861,-83.848083,5812.270996,-2631.185547,149.536285,-6916.351562,-2133.083008,831.640076,-6148.008789,-182.451126,-575.181580,-5959.533203,-2832.082764,994.630676,3724.617920,-419.785980,-593.671997,-6267.568359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,1472.969727,605.066711,-6410.567383,2478.905029,-462.496338,-5910.903320,980.218201,-83.851059,5812.277832,-2631.120117,149.523743,-6916.386719,-2134.634033,827.705994,-6146.150879,-182.571884,-575.473083,-5959.290039,-2835.530762,993.364990,3717.702393,-419.824585,-593.650635,-6267.512695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,1472.929199,605.107910,-6411.039551,2478.833496,-462.610413,-5910.882324,980.256836,-83.856590,5812.276367,-2630.895020,149.663956,-6916.347656,-2136.213623,823.681824,-6144.092285,-182.994415,-575.972473,-5958.929199,-2839.308350,992.012207,3710.373047,-419.814026,-593.574402,-6267.443359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,1474.217773,604.483765,-6411.867188,2478.824219,-462.742493,-5910.869629,980.253479,-83.860703,5812.289551,-2630.923096,149.664322,-6916.330078,-2137.877197,819.502991,-6141.777344,-183.270187,-576.225464,-5958.636719,-2842.031494,992.130066,3704.443359,-419.801300,-593.524902,-6267.403320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,1475.294678,603.946045,-6412.488770,2478.884521,-462.762451,-5910.863281,980.218140,-83.872574,5812.302246,-2631.186035,149.575989,-6916.329102,-2139.496338,815.380432,-6139.409180,-183.584106,-576.361511,-5958.287598,-2845.783447,991.257629,3697.149902,-419.906921,-593.515259,-6267.378906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
