Format Version,1.24,Take Name,Take 2025-10-06 10.00.04 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 10.00.04.992 AM,Capture Start Frame,120979,Total Frames in Take,1252,Total Exported Frames,1252,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,960.834351,-73.314041,5791.499512,-1079.477905,1049.610596,-5505.854492,2.889760,-609.361023,-6688.791504,-732.906860,-574.753235,-5548.196777,-2374.203613,484.536011,-5980.842773,-1094.163818,1007.070801,-5508.992676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,960.813843,-73.335846,5791.476074,-1080.913940,1049.812134,-5501.142578,2.929212,-609.329346,-6688.791992,-732.920410,-574.770996,-5548.192871,-2376.040527,484.675720,-5980.541504,-1095.264038,1006.980652,-5504.407715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,960.739990,-73.382484,5791.310059,-1081.403198,1049.348389,-5496.850098,2.965139,-609.318787,-6688.795410,-732.911438,-574.824829,-5548.144043,-2377.409424,484.354095,-5980.298340,-1096.472290,1006.474243,-5500.503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,960.592834,-73.568703,5791.125000,-1081.734253,1049.352783,-5492.828125,2.988428,-609.305054,-6688.795410,-732.860413,-574.818909,-5548.102051,-2379.191650,484.626678,-5980.667969,-1097.229492,1005.644531,-5497.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,960.820801,-73.323875,5791.488281,-1081.825562,1049.151367,-5489.630859,2.955597,-609.330261,-6688.803223,-732.817566,-574.785095,-5548.085449,-2380.427734,484.299744,-5980.626465,-1096.418823,1006.627930,-5493.798828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,960.768372,-73.341209,5791.373535,-1081.771240,1049.181274,-5487.050781,2.936348,-609.326294,-6688.808594,-732.828186,-574.789673,-5548.044434,-2381.544189,483.711365,-5980.191895,-1095.893311,1006.568298,-5491.233887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,960.833008,-73.282227,5791.494141,-1081.532715,1049.232666,-5484.982422,2.906760,-609.354004,-6688.819824,-732.821411,-574.822876,-5548.023926,-2382.685059,483.434113,-5979.859375,-1093.994873,1006.784668,-5489.288086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,960.809814,-73.315460,5791.506836,-1080.784912,1049.259399,-5483.818848,2.915577,-609.371277,-6688.826172,-732.795898,-574.872864,-5547.998535,-2383.784424,483.159424,-5979.701660,-1095.591431,1005.850525,-5488.002441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,960.803711,-73.323448,5791.487305,-1079.794312,1049.371094,-5483.153809,2.886504,-609.382080,-6688.836914,-732.763489,-574.885376,-5547.969727,-2384.797119,482.883148,-5979.705566,-1095.834839,1005.598755,-5487.389648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,960.831909,-73.320587,5791.492676,-1079.199219,1050.196045,-5483.811035,2.900330,-609.366760,-6688.838867,-732.734497,-574.875305,-5547.944336,-2385.651855,482.808685,-5979.737793,-1092.208740,1006.760864,-5486.988770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,960.813232,-73.318176,5791.501465,-1078.342285,1050.837769,-5485.048828,2.947900,-609.305054,-6688.828125,-732.738525,-574.915161,-5547.912598,-2386.598145,482.839478,-5979.586426,-1090.823608,1006.942993,-5487.434082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,960.736938,-73.376701,5791.331055,-1077.782349,1051.944214,-5486.708008,3.001221,-609.265808,-6688.816895,-732.748413,-574.910095,-5547.892090,-2387.413086,482.798889,-5979.159668,-1092.342163,1006.525391,-5488.700195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,960.602722,-73.574173,5791.128906,-1079.651978,1054.238647,-5489.056641,2.967941,-609.276550,-6688.822266,-732.714600,-574.939575,-5547.853027,-2388.897461,484.002716,-5979.235840,-1089.965942,1007.702698,-5489.916016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,960.579773,-73.584320,5791.014160,-1078.649658,1055.832764,-5491.022461,2.959880,-609.291138,-6688.822266,-732.719299,-574.950256,-5547.825684,-2389.345703,484.032684,-5979.132812,-1086.926270,1008.772278,-5491.526367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,960.805054,-73.330086,5791.494629,-1074.433716,1057.639038,-5493.083496,2.935465,-609.340454,-6688.824219,-732.650696,-574.965759,-5547.792969,-2389.725342,484.163696,-5978.942383,-1085.454590,1007.851624,-5493.342285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
