Format Version,1.24,Take Name,Take 2025-10-06 09.41.01 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.41.02.331 AM,Capture Start Frame,100985,Total Frames in Take,668,Total Exported Frames,668,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,1695.485962,595.406555,-6574.869629,980.188538,-83.859238,5812.310547,2514.941895,-463.329163,-5905.335449,-509.986877,581.167480,-5328.182129,2479.161865,-461.763672,-5910.076172,-1621.307129,890.780884,-5222.313477,-517.122925,547.866211,-5343.178711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,1695.546021,595.314697,-6574.885742,980.139404,-83.826889,5812.308594,2515.052246,-463.366394,-5905.361328,-513.027893,578.172546,-5330.878418,2479.203857,-461.847443,-5910.107910,-1620.881104,893.258789,-5218.046875,-520.131287,544.644348,-5345.852051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,1695.639282,595.276245,-6574.924316,980.171143,-83.826324,5812.286133,2515.058350,-463.379791,-5905.369141,-516.010254,575.197815,-5333.410156,2479.157471,-461.803650,-5910.083496,-1620.250366,895.386047,-5213.291504,-522.943909,542.188721,-5348.540527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,1695.729248,595.275940,-6574.959961,980.160645,-83.861702,5812.286133,2514.980713,-463.339020,-5905.352051,-519.333313,572.492920,-5335.717285,2479.207764,-461.749329,-5910.108887,-1618.739868,898.250793,-5208.497559,-526.157471,539.483398,-5350.903809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,1695.840698,595.267151,-6575.007324,980.138367,-83.859566,5812.316895,2514.958496,-463.371155,-5905.354004,-522.562927,570.174500,-5337.922363,2479.239990,-461.706482,-5910.110840,-1617.864624,900.748047,-5203.318359,-528.149658,537.113647,-5353.164551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,1695.956177,595.254028,-6575.021484,980.190796,-83.863121,5812.313477,2515.107422,-463.394165,-5905.670410,-525.510376,567.766846,-5340.581055,2479.260498,-461.750763,-5910.156250,-1617.365723,903.562683,-5198.264160,-532.429260,534.470215,-5355.578613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,1696.052246,595.230835,-6575.035645,980.169373,-83.820534,5812.310059,2515.035156,-463.347260,-5905.387695,-528.666382,565.613464,-5342.779785,2479.185059,-461.805817,-5910.104980,-1616.334351,906.254761,-5192.735352,-535.322571,532.010864,-5358.130859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,1696.130371,595.193237,-6575.030273,980.174500,-83.835007,5812.302246,2515.110840,-463.341278,-5905.368164,-531.861938,563.527527,-5344.964355,2479.197510,-461.788635,-5910.120117,-1615.909180,908.755066,-5187.033691,-535.774597,531.320068,-5360.765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,1696.520630,595.014709,-6575.165039,980.135742,-83.855400,5812.325684,2515.016846,-463.376495,-5905.339844,-534.421021,561.393738,-5347.418457,2479.256592,-461.798462,-5910.111816,-1615.505249,910.991455,-5182.072266,-538.494263,529.195740,-5363.358398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,1696.577515,594.901062,-6575.190918,980.138733,-83.841812,5812.325195,2514.930420,-463.365753,-5905.338867,-537.385559,559.705750,-5349.780273,2479.244385,-461.697449,-5910.106445,-1614.971680,913.721863,-5177.796875,-540.760742,527.757263,-5365.869629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
