Format Version,1.24,Take Name,Take 2025-10-06 09.48.31 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.48.31.906 AM,Capture Start Frame,37805,Total Frames in Take,719,Total Exported Frames,719,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,960.494690,-73.687073,5791.495605,-421.419098,1001.494751,-5245.584473,1475.937134,-522.071167,-6242.206055,-1598.081177,954.542847,-5295.868652,-432.747131,974.825317,-5246.762695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,960.662781,-73.492310,5791.322754,-421.796600,1000.711304,-5245.302246,1475.967407,-522.023560,-6242.193359,-1597.877441,954.018311,-5294.199707,-432.540253,974.497009,-5247.137695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,960.535339,-73.712692,5791.183594,-423.155884,999.471985,-5245.237793,1476.344360,-521.402588,-6242.106934,-1597.742676,954.087646,-5292.359863,-432.799774,974.449158,-5247.245605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,960.195984,-74.031822,5791.157227,-424.129578,998.438232,-5245.461914,1475.776001,-521.971619,-6242.319824,-1597.185547,953.615784,-5290.059570,-432.880768,974.333313,-5247.392578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,960.526184,-73.704597,5791.163574,-424.344666,997.810852,-5245.732910,1475.796265,-522.053223,-6242.279297,-1597.237305,954.271484,-5287.702637,-433.119934,974.281677,-5247.532227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,960.055359,-74.149750,5791.376953,-424.409515,997.670898,-5245.851074,1476.163940,-521.502075,-6242.144043,-1596.653320,954.585938,-5284.434082,-433.702057,974.182495,-5247.562012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,960.064941,-74.162308,5791.386719,-423.013306,998.543823,-5245.617676,1475.817993,-521.944092,-6242.241211,-1596.091553,954.436340,-5280.507812,-433.808594,974.059814,-5247.664062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,960.686646,-73.494942,5791.332031,-421.680847,999.815002,-5245.937500,1475.856812,-522.073486,-6242.198242,-1596.137329,954.813660,-5275.542480,-433.841064,973.947205,-5247.750488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,960.712463,-73.459480,5791.377441,-421.846527,1000.315063,-5246.147949,1476.192505,-521.590332,-6242.090820,-1596.229004,955.372803,-5268.689941,-433.884186,973.841248,-5247.865234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,960.764771,-73.408501,5791.491699,-422.039856,1000.337585,-5246.134766,1476.654907,-521.076172,-6241.928711,-1596.493408,956.472900,-5259.180176,-434.056122,973.821228,-5247.894531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
