,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 2020,Unlabeled 2020,Unlabeled 2020,Unlabeled 2021,Unlabeled 2021,Unlabeled 2021,Unlabeled 2022,Unlabeled 2022,Unlabeled 2022,Unlabeled 2023,Unlabeled 2023,Unlabeled 2023,Unlabeled 2042,Unlabeled 2042,Unlabeled 2042,Unlabeled 2239,Unlabeled 2239,Unlabeled 2239,Unlabeled 2265,Unlabeled 2265,Unlabeled 2265,Unlabeled 2266,Unlabeled 2266,Unlabeled 2266
,ID,"6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","15567F5C26D7A29011F0","15567F5C26D7A29011F0","15567F5C26D7A29011F0","155C7F5C26D7A29011F0","155C7F5C26D7A29011F0","155C7F5C26D7A29011F0","155E7F5C26D7A29011F0","155E7F5C26D7A29011F0","155E7F5C26D7A29011F0","15717F5C26D7A29011F0","15717F5C26D7A29011F0","15717F5C26D7A29011F0","164B7F5C26D7A29011F0","164B7F5C26D7A29011F0","164B7F5C26D7A29011F0","16657F5C26D7A29011F0","16657F5C26D7A29011F0","16657F5C26D7A29011F0","16667F5C26D7A29011F0","16667F5C26D7A29011F0","16667F5C26D7A29011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,0.158333,960.774902,-73.419250,5791.511230,-221.093857,914.277527,-5210.751465,-2567.261963,816.913757,-5527.555664,-2569.422119,760.311157,-5334.583984,,,,,,,,,,,,
20,0.166667,960.788452,-73.396378,5791.507812,-220.716461,915.267639,-5210.595703,-2566.677490,819.239441,-5524.159180,-2568.458252,763.300415,-5330.966797,,,,,,,,,,,,
21,0.175000,960.778564,-73.416245,5791.509277,-220.132141,916.439026,-5210.490234,-2565.835938,822.078918,-5520.720215,-2568.162842,766.647583,-5327.560547,,,,,,,,,,,,
22,0.183333,960.755676,-73.414764,5791.501953,-219.750473,917.426697,-5210.346191,-2564.660645,824.825806,-5517.340332,-2567.715576,770.458252,-5323.866211,,,,,,,,,,,,
23,0.191667,960.474243,-73.684395,5791.471191,-219.477386,919.185486,-5210.063477,-2563.515625,827.517578,-5514.245117,-2567.400391,774.541687,-5320.437500,,,,,,,,,,,,
24,0.200000,960.749695,-73.409264,5791.491211,-219.200928,920.331604,-5209.639648,-2562.345459,830.195923,-5511.440430,-2566.697266,778.462158,-5316.992188,,,,,,,,,,,,
25,0.208333,960.759338,-73.421501,5791.511230,-218.255432,921.642761,-5209.503418,-2561.321289,833.043823,-5508.918945,-2566.139893,782.998718,-5313.808105,,,,,,,,,,,,
26,0.216667,960.738525,-73.423042,5791.502441,-217.722717,922.799988,-5209.343262,-2560.555420,836.005554,-5506.673340,-2565.970215,788.386414,-5311.105469,,,,,,,,,,,,
27,0.225000,960.478638,-73.708366,5791.486816,-217.358902,924.614807,-5208.962891,-2560.014893,839.093201,-5504.685059,-2565.351074,793.605225,-5308.250000,,,,,,,,,,,,
28,0.233333,960.775940,-73.426353,5791.511719,-216.099945,925.704590,-5208.842773,-2559.756836,842.383972,-5502.762695,-2564.623779,799.497314,-5305.511719,,,,,,,,,,,,
29,0.241667,960.710754,-73.473900,5791.365723,-214.971039,927.011658,-5208.634766,-2559.708740,845.786011,-5501.227051,-2564.395752,805.828918,-5303.420898,,,,,,,,,,,,
30,0.250000,960.764709,-73.430756,5791.498047,-214.298035,928.431763,-5208.543457,-2559.849365,849.352722,-5499.730469,-2563.413330,812.186401,-5301.130371,,,,,,,,,,,,
31,0.258333,960.695618,-73.475639,5791.332031,-214.006104,930.528809,-5208.076660,-2560.056396,853.212097,-5498.354004,-2562.830322,818.326294,-5298.791504,,,,,,,,,,,,
32,0.266667,960.087402,-74.172546,5791.345703,-213.240204,931.949585,-5207.888672,-2560.380615,857.900818,-5496.826172,-2561.711670,824.579407,-5296.612793,,,,,,,,,,,,
33,0.275000,960.217712,-74.029434,5791.272461,-212.179413,933.511230,-5207.796387,-2560.326172,862.783386,-5495.058594,-2560.979980,830.872070,-5294.701172,,,,,,,,,,,,
34,0.283333,960.773315,-73.427437,5791.503418,-212.123398,935.446777,-5207.505371,-2559.804443,867.975708,-5493.397461,-2560.398682,837.723450,-5293.123047,,,,,,,,,,,,
35,0.291667,960.777344,-73.408707,5791.524414,-211.260696,937.199158,-5207.407715,-2558.705078,872.890930,-5492.023926,-2559.258301,844.500183,-5291.399414,,,,,,,,,,,,
36,0.300000,960.757263,-73.413078,5791.512207,-210.261795,938.937927,-5207.324219,-2556.619141,877.604553,-5490.974609,-2557.823730,851.624329,-5289.809082,,,,,,,,,,,,
37,0.308333,960.711487,-73.459480,5791.323242,-209.762863,940.732788,-5207.346680,-2553.788818,882.076721,-5490.271973,-2556.745605,859.311157,-5288.699707,,,,,,,,,,,,
38,0.316667,960.778076,-73.405502,5791.486328,-208.809296,942.674500,-5207.397461,-2550.584961,886.436584,-5489.952637,-2555.228516,866.872559,-5287.722168,,,,,,,,,,,,
39,0.325000,960.771790,-73.385757,5791.527344,-207.757523,944.480774,-5207.399902,-2547.244629,890.804504,-5490.012207,-2553.962158,874.820862,-5287.635742,,,,,,,,,,,,
40,0.333333,960.696594,-73.465660,5791.345215,-207.754257,946.589417,-5207.001953,-2543.978760,895.389465,-5490.467773,-2552.769287,882.817261,-5287.849609,,,,,,,,,,,,
41,0.341667,960.548950,-73.662148,5791.149414,-206.654648,948.388367,-5207.007324,-2540.932129,900.246521,-5491.329590,-2552.053223,891.194153,-5288.248535,,,,,,,,,,,,
42,0.350000,960.540222,-73.682510,5791.028320,-206.320160,950.628967,-5206.675781,-2537.949219,905.295105,-5492.452637,-2550.690918,898.946350,-5289.491699,,,,,,,,,,,,
43,0.358333,960.755981,-73.420197,5791.505859,-205.057785,952.163147,-5206.906738,-2534.942871,910.359070,-5493.822266,-2549.883057,907.182861,-5291.533203,,,,,,,,,,,,
44,0.366667,960.798279,-73.397598,5791.523926,-203.787598,953.896057,-5206.950684,-2532.170898,915.498230,-5495.491699,-2548.907227,915.164734,-5292.912598,,,,,,,,,,,,
45,0.375000,960.815063,-73.400955,5791.499023,-202.848312,956.139771,-5206.867676,-2529.786621,920.747009,-5497.426270,-2547.522949,923.039124,-5294.391602,,,,,,,,,,,,
46,0.383333,960.708618,-73.480263,5791.349609,-202.276016,957.948059,-5206.455078,-2527.914307,926.155945,-5499.728516,-2545.676514,930.751648,-5296.873535,,,,,,,,,,,,
47,0.391667,960.571106,-73.671768,5791.142090,-200.988983,959.783752,-5206.315918,-2526.973145,931.682007,-5502.490723,-2543.844238,938.780090,-5299.856934,,,,,,,,,,,,
48,0.400000,960.776733,-73.426422,5791.501465,-199.500992,961.807312,-5206.108398,-2526.747559,937.328613,-5505.710449,-2541.511230,946.303589,-5303.069824,,,,,,,,,,,,
49,0.408333,960.723389,-73.456482,5791.378418,-198.258057,963.499390,-5205.714844,-2526.875244,942.781677,-5509.353516,-2539.390625,954.328735,-5306.820801,,,,,,,,,,,,
50,0.416667,960.579529,-73.665459,5791.149414,-196.807007,965.118958,-5205.580078,-2526.927979,948.005005,-5513.502441,-2536.696777,961.624451,-5311.349121,,,,,,,,,,,,
51,0.425000,960.776978,-73.437912,5791.498535,-195.245590,966.922852,-5205.490234,-2526.496582,953.179382,-5517.902832,-2534.322266,968.732178,-5315.607422,,,,,,,,,,,,
52,0.433333,960.745850,-73.436829,5791.375977,-194.109909,968.876038,-5205.264648,-2525.659668,958.222168,-5522.462891,-2532.084473,976.064697,-5320.288086,,,,,,,,,,,,
53,0.441667,960.572083,-73.659042,5791.188965,-193.263474,970.579041,-5204.849121,-2524.366943,962.853455,-5527.289062,-2529.579590,982.827942,-5325.293945,,,,,,,,,,,,
54,0.450000,960.740967,-73.414772,5791.504883,-191.540894,972.086121,-5204.546387,-2522.706787,967.184692,-5532.134766,-2527.058594,989.050781,-5330.009766,,,,,,,,,,,,
55,0.458333,960.785095,-73.389565,5791.532715,-189.845810,973.603699,-5204.205078,-2520.713623,970.992615,-5537.118164,-2524.592285,995.280518,-5335.579590,,,,,,,,,,,,
56,0.466667,960.773804,-73.401443,5791.497559,-188.425919,974.718079,-5204.243652,-2518.462402,974.274597,-5542.189453,-2522.515625,1001.234314,-5340.749023,,,,,,,,,,,,
57,0.475000,960.748779,-73.417229,5791.498047,-187.316025,976.540283,-5204.315430,-2515.654541,977.189026,-5547.421875,-2520.458496,1007.209900,-5346.493652,,,,,,,,,,,,
58,0.483333,960.207092,-74.000702,5791.288574,-186.820404,978.080688,-5204.006348,-2512.293213,979.708435,-5552.657715,-2518.321045,1012.634033,-5351.628418,,,,,,,,,,,,
59,0.491667,960.787292,-73.407303,5791.511230,-185.636078,979.559814,-5203.553711,-2508.585205,981.550110,-5557.907227,-2515.956787,1018.069519,-5357.488281,,,,,,,,,,,,
60,0.500000,960.775146,-73.401306,5791.530273,-184.461258,980.962708,-5203.297852,-2504.580322,982.936218,-5562.944824,-2513.686523,1023.187866,-5362.746582,,,,,,,,,,,,
